1000645;Jet Infosystems;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;1;;;;;;2;1;;2
1000673;Крок;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1;1;1;;;;2;;;1;;2;;;;;;;;1;;;;1;;;;;;;;;;1;5;2
1000694;Ярс-Кари;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;2;3;4;2;3;4;1;1;5;;;;;;
1000831;АСТЕРОС;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;3;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000901;Арсенал+;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;8;12;18;22;29;21;24;28;32;24;26;20;22;23;19;13;27;21;28;29;68
1002374;МИКРОТЕСТ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;1;1;1
1002466;Верисел-Сервис;;;1;1;1;2;2;1;1;1;1;;1;1;1;1;1;2;2;;2;1;1;1;;;;;1;;;;1;;;;;;;;;1;1;1;2;1;;;;2;1;1;1;1;5;1;2;6;5;3;;4;5;2;;3;1;3;4;6;3;6
1002520;Софт- Троник Мск;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
1002542;Р-Сети;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
1002608;D-Link;;;;;1;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;1;1;;1;;;;;2;1;1;;;;;1;1;1;;;;;1;1;;;;;;;;1;;;;;;;;
1002737;ВЕРИСЕЛ Проекты;;1;;2;;;;;2;;2;;2;;1;;2;;;;;;;;;1;;;;;;;1;;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002807;АйТи;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
1002943;НЭТА;2;1;;1;2;1;2;;;;1;1;;;;;;;;;;;;2;1;;;;;;1;;1;1;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1003198;ЛОГИС;4;5;7;17;18;22;18;34;37;30;26;42;19;32;48;48;52;48;46;59;55;58;69;98;34;62;54;68;54;57;59;76;71;59;86;111;43;71;66;63;64;64;55;58;63;79;79;98;55;49;65;76;51;74;71;71;68;78;69;84;51;71;82;71;55;51;86;75;52;73;74;107
1003294;Энвижн Груп;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;8;4;;3;3;4;6;11;7;14;6;19;2;3;;3;6;4;2;2;2;1;;1;;;;;;;1;1;;
1003352;Трансфер Эквипмент В;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1003387;Тверь-ЛАН Сервис;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;4;;3;;;1;;;;;;;;;
1003990;Интерсист;1;1;1;2;4;2;1;3;6;;5;4;6;1;1;5;5;7;2;2;7;4;3;4;;5;4;1;1;5;;1;1;3;1;1;;;8;1;;;1;4;4;5;9;6;1;6;3;10;6;6;7;4;4;2;3;1;1;1;5;4;2;1;3;;8;5;4;4
1004051;ХАЙТЕД;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;1;;1;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
1004568;СофтЛайн Трейд;;;;;;;1;1;;2;1;1;1;;;;1;1;1;;;1;1;2;1;;;1;;2;1;;;;;;;1;;;;;;;;;;;;1;;;1;1;;1;2;3;3;1;;1;2;;3;3;;1;;2;4;5
1004742;"Брн-ЭЛСИ-Запад(ООО ""Вист – Сервис"")";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;2;1;1;1;1;1;1;1;1;;1;2;;;;;;;;
1004864;Тверь-Андреев Софт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;6;2;1;;;;;;
1005463;Технотрейд Компания;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1005682;Оберон;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1005744;Орбита - Холдинг (г. Курган);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;1;;3;6;4;8;4;6;7;13;3;5
1005857;Ряз-Аверс;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2;1;3;1;;4;4;3;2;;;;;;
1005865;Ивн-Тринэт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;1;;1;;2;5;;;;;;
1005985;Агентство Бизнес Коммуникаций;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1006024;Орл-Киберлинк;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;1;3;3;1;3;3;;1;3;;;;;1;;;;;;;;;
1006178;Клг-Олерон;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;3;3;1;1;1;1;4;6;10;9;10;10;8;10;11;2;6;7;6;6;7;;;;;;
1006251;Полиграфист (г. Нижневартовск);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1006518;Планеташоп.ру;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;;;;1;;;;;;;;;;;;;
1006625;ДНС;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;4;2;2;2;2;;2;2;2;4
1007086;Ивн-Интеграция (Сервис ТВ);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;1;7;4;6;4;3;11;12;9;13;;;;;;
1007205;Ряз-Криэйтив технолоджи (Мастком);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;11;17;9;10;12;21;11;12;15;16;18;17;;;;;;
1007448;Клг-ПОРТ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;6;7;;2;2;2;1;4;3;1;3;2;1;7;2;1;4;1;1;2;;;;;;
1007485;Ряз-Комис-сети;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;5;2;4;;;;;;
1007572;Техносити (г. Тюмень);;;1;;;;1;1;1;1;1;1;;2;1;1;1;2;;1;;;1;1;;1;1;1;2;1;1;1;1;1;1;4;1;3;2;2;2;;1;3;1;;;4;;;;;1;;1;;;2;;;;;1;1;3;1;;;;;;1
1007605;Старком;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1007656;Кос-КМДЦ-Инженеринг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;1;3;1;;;1;1;2;1;;2;;;;;;;;
